FID,ID_KEL,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,ODP,Proses Pemantauan,Selesai Pemantauan,PDP,Masih Dirawat,Pulang dan Sehat,POSITIF,Dirawat,Sembuh,Meninggal,Self Isolation,Keterangan
235,3173031006,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,34,2,32,6,2,4,4,1,1,0,2,
236,3172021001,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,71,0,71,23,1,22,38,18,1,5,14,
237,3171031001,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,38,2,36,34,5,29,8,4,1,1,2,
238,3171011001,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,20,0,20,5,0,5,1,0,1,0,0,
239,3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,59,1,58,11,0,11,10,6,1,0,3,
240,3171061003,DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,32,1,31,13,1,12,5,1,3,1,0,
241,3174081006,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,CIKOKO,26,0,26,5,0,5,7,3,1,1,2,
242,3175031001,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,21,0,21,3,0,3,17,5,5,2,5,
243,3174031005,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,18,0,18,5,1,4,0,0,0,0,0,
244,3171041005,DKI JAKARTA,JAKARTA PUSAT,SENEN,KWITANG,37,0,37,6,0,6,4,1,3,0,0,
245,3172041003,DKI JAKARTA,JAKARTA UTARA,CILINCING,MARUNDA,54,1,53,10,0,10,5,2,0,1,2,
246,3175061002,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,RAWA TERATE,20,0,20,5,1,4,4,2,1,0,1,
247,3173041010,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ROA MALAKA,3,0,3,0,0,0,0,0,0,0,0,
248,3171041001,DKI JAKARTA,JAKARTA PUSAT,SENEN,SENEN,92,0,92,4,0,4,6,3,0,1,2,
249,3171031004,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SERDANG,75,1,74,37,1,36,11,5,3,0,3,
250,3175061001,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,JATINEGARA,72,0,72,20,2,18,23,5,2,3,13,
251,3172031004,DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,88,0,88,23,4,19,7,4,0,2,1,
252,3173041004,DKI JAKARTA,JAKARTA BARAT,TAMBORA,TANAH SEREAL,29,1,28,12,4,8,16,3,0,3,10,
253,3173041011,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI SELATAN,13,1,12,2,0,2,0,0,0,0,0,
254,3173041003,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI UTARA,15,0,15,13,2,11,9,1,0,1,7,
255,3175021004,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,7,0,7,2,0,2,1,0,0,0,1,
256,3173041002,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KALI ANYAR,25,0,25,7,1,6,8,3,0,2,3,
257,3173031002,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KRUKUT,15,0,15,10,0,10,15,4,0,1,10,
258,3173031005,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,34,0,34,9,3,6,4,2,0,0,2,
259,3174011006,DKI JAKARTA,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,27,2,25,16,1,15,14,6,5,1,2,
260,3101011003,DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTARA,PULAU HARAPAN,47,0,47,0,0,0,0,0,0,0,0,
261,3101011002,DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTARA,PULAU KELAPA,126,0,126,5,0,5,1,0,0,0,1,
262,3101011001,DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTARA,PULAU PANGGANG,54,3,51,9,0,9,0,0,0,0,0,
263,3101021003,DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SELATAN,PULAU PARI,22,0,22,4,0,4,0,0,0,0,0,
264,3101021002,DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SELATAN,PULAU TIDUNG,175,1,174,1,0,1,13,3,0,0,10,
265,3173031008,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,PINANGSIA,13,0,13,3,0,3,1,0,0,0,1,
266,3174021001,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,SETIA BUDI,15,0,15,7,0,7,3,2,1,0,0,
267,3173041001,DKI JAKARTA,JAKARTA BARAT,TAMBORA,TAMBORA,21,0,21,7,4,3,2,0,0,0,2,
268,3101021001,DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SELATAN,PULAU UNTUNG JAWA,20,0,20,0,0,0,0,0,0,0,0,
